Disease,Specialization
Anemia of chronic disease,Hematologist
Dysthymic disorder,Psychiatrist
Scarlet fever,Infectious Disease Specialist
Hypertensive heart disease,Cardiologist
Drug abuse (barbiturates),Addictionologists
Polycystic ovarian syndrome (PCOS),Endocrinologist
Encephalitis,Neurologist
Cyst of the eyelid,Ophthalmologist
Balanitis,Urologist
Foreign body in the throat,ENT Specialist
Drug abuse (cocaine),Addictionologists
Optic neuritis,Ophthalmologist
Alcohol withdrawal,General Physician
Premature atrial contractions (PACs),Electrophysiologist 
Hemiplegia,Neurologist
Hammer toe,Podiatrist
Open wound of the cheek,Dermatologist
Joint effusion,Orthopedic
Open wound of the knee,Orthopedic
Meningioma,Neurologist
Brain cancer,Neurologist
Placental abruption,Gynecologist
Seasonal allergies (hay fever),Immunologist
Lung cancer,Pulmonologist
Eye alignment disorder,Ophthalmologist
Headache after lumbar puncture,Anesthesiologist
Pyloric stenosis,Pediatric Surgeon
Salivary gland disorder,ENT Specialist
Osteochondrosis,Orthopedic
Injury to the knee,Orthopedic
Metabolic disorder,Endocrinologist
Vaginitis,Gynecologist
Sick sinus syndrome,Cardiologist
Tinnitus of unknown cause,ENT Specialist
Glaucoma,Ophthalmologist
Eating disorder,Dietitian
Transient ischemic attack,Neurologist
Pyelonephritis,Urologist
Rotator cuff injury,Orthopedic
Chronic pain disorder,General Physician
Problem during pregnancy,General Physician
Liver cancer,Oncologist
Atelectasis,Pulmonologist
Injury to the hand,Orthopedic
Choledocholithiasis,Gastroenterologist
Injury to the hip,Orthopedic
Cirrhosis,Hepatologist
Thoracic aortic aneurysm,Vascular Surgeon
Subdural hemorrhage,Neuro Surgeon
Congenital rubella,Pediatrician
Diabetic retinopathy,Ophthalmologist
Fibromyalgia,Rheumatologist
Ischemia of the bowel,Gastroenterologist
Fetal alcohol syndrome,General Physician
Peritonitis,Hepatologist
Injury to the abdomen,General Physician
Acute pancreatitis,Gastroenterologist
Thrombophlebitis,Vascular Surgeon
Asthma,Pulmonologist
Foreign body in the vagina,Gynecologist
Restless leg syndrome,Neurologist
Emphysema,Pulmonologist
Cysticercosis,Neurologist
Induced abortion,General Physician
Teething syndrome,Pediatrician
Infectious gastroenteritis,Gastroenterologist
Acute sinusitis,ENT Specialist
Von Hippel-Lindau disease,General Physician
Substance-related mental disorder,Psychiatrist
Postpartum depression,Psychiatrist
Coronary atherosclerosis,Cardiologist
Spondylitis,Rheumatologist
Pituitary adenoma,Endocrinologist
Uterine fibroids,Gynecologist
Idiopathic nonmenstrual bleeding,Gynecologist
Chalazion,Ophthalmologist
Ovarian torsion,Gynecologist
Retinopathy due to high blood pressure,Ophthalmologist
Vaginal yeast infection,Infectious Disease Specialist
Mastoiditis,ENT Specialist
Lung contusion,Pulmonologist
Hypertrophic obstructive cardiomyopathy (HOCM),General Physician
Pulmonary eosinophilia,Pulmonologist
Open wound of the hip,Orthopedic
Corneal disorder,Ophthalmologist
Foreign body in the gastrointestinal tract,Gastroenterologist
Endophthalmitis,Ophthalmologist
Intestinal malabsorption,Gastroenterologist
Lead poisoning,General Physician
Hyperhidrosis,Dermatologist
Stroke,Neurologist
Pilonidal cyst,General Physician
Crushing injury,Orthopedic
Normal pressure hydrocephalus,Neurologist
Hashimoto thyroiditis,Endocrinologist
Flat feet,Podiatrist
Nonalcoholic liver disease (NASH),Hepatologist
Hemarthrosis,Orthopedic
Pelvic organ prolapse,Gynecologist
Fracture of the arm,Orthopedic
Coagulation (bleeding) disorder,Hematologist
Panic disorder,Psychiatrist
Vocal cord polyp,ENT Specialist
Turner syndrome,Endocrinologist
Cryptorchidism,Urologist
Poisoning due to ethylene glycol,General Physician
Atrophic vaginitis,Gynecologist
Fracture of the hand,Orthopedic
Cellulitis or abscess of mouth,Gastroenterologist
Food allergy,Gastroenterologist
Labyrinthitis,ENT Specialist
Anxiety,Psychiatrist
Impulse control disorder,Psychiatrist
Stenosis of the tear duct,ENT Specialist
Abscess of nose,ENT Specialist
Omphalitis,Pediatrician
Leukemia,Hematologist
Bell palsy,Neurologist
Conjunctivitis due to allergy,Immunologist
Drug reaction,General Physician
Adrenal cancer,Endocrinologist
Myopia,Ophthalmologist
Osteoarthritis,Orthopedic
Thyroid disease,Endocrinologist
Pharyngitis,ENT Specialist
Chronic rheumatic fever,Infectious Disease Specialist
Hypocalcemia,Endocrinologist
Macular degeneration,Ophthalmologist
Pneumonia,Pulmonologist
Cold sore,Dermatologist
Premature ventricular contractions (PVCs),Cardiologist
Chancroid,Dermatologist
Testicular cancer,Urologist
Hydrocephalus,Neuro Surgeon
Breast cancer,Oncologist
Anemia due to malignancy,Hematologist
Esophageal varices,Gastroenterologist
Endometrial cancer,Oncologist
Cystic Fibrosis,Pulmonologist
Parathyroid adenoma,Endocrinologist
Glucocorticoid deficiency,General Physician
Temporomandibular joint disorder,Orthopedic
Wilson disease,Hepatologist
Vesicoureteral reflux,Urologist
Vitamin A deficiency,Ophthalmologist
Gonorrhea,Infectious Disease Specialist
Fracture of the rib,Orthopedic
Ependymoma,Neuro Surgeon
Hepatitis due to a toxin,Gastroenterologist
Vaginal cyst,Gynecologist
Open wound of the shoulder,General Physician
Ectopic pregnancy,Gynecologist
Chronic knee pain,Orthopedic
Pinguecula,Ophthalmologist
Hypergammaglobulinemia,Hematologist
Alcohol abuse,Psychiatrist
Carpal tunnel syndrome,Orthopedic
Pituitary disorder,Endocrinologist
Kidney stone,Urologist
Autism,Psychiatrist
Cat scratch disease,Infectious Disease Specialist
Chronic glaucoma,Ophthalmologist
Retinal detachment,Ophthalmologist
Aplastic anemia,Hematologist
Overflow incontinence,Urologist
Rabies,Infectious Disease Specialist
Hemolytic anemia,Hematologist
Lateral epicondylitis (tennis elbow),Orthopedic
Open wound of the eye,Ophthalmologist
Syphilis,General Physician
Diabetic kidney disease,Urologist
Nose disorder,ENT Specialist
Drug withdrawal,General Physician
Dental caries,Dentist
Hypercholesterolemia,Cardiologist
Fracture of the patella,Orthopedic
Kidney failure,Urologist
Fracture of the neck,Orthopedic
Muscle spasm,Neurologist
Hemophilia,Hematologist
Hyperosmotic hyperketotic state,Endocrinologist
Peritonsillar abscess,ENT Specialist
Gastroparesis,Gastroenterologist
Fat embolism,General Physician
Polycythemia vera,Hematologist
Thrombocytopenia,General Physician
Head and neck cancer,Oncologist
Pseudohypoparathyroidism,Endocrinologist
Goiter,Endocrinologist
Urge incontinence,Urologist
Edward syndrome,General Physician
Open wound of the arm,General Physician
Muscular dystrophy,Neurologist
Mittelschmerz,Gynecologist
Corneal abrasion,Ophthalmologist
Intracranial hemorrhage,Neuro Surgeon
Hyperkalemia,Nephrologist
Cornea infection,Infectious Disease Specialist
Abscess of the lung,Pulmonologist
Dengue fever,Infectious Disease Specialist
Chronic sinusitis,ENT Specialist
Cholesteatoma,ENT Specialist
Volvulus,General Physician
Injury to the finger,Orthopedic
Poisoning due to analgesics,General Physician
Atrial fibrillation,Cardiologist
Pinworm infection,Infectious Disease Specialist
Urethral valves,Urologist
Open wound of the neck,General Physician
Achalasia,Gastroenterologist
Conductive hearing loss,ENT Specialist
Abdominal hernia,General Physician
Cerebral palsy,Neurologist
Marijuana abuse,General Physician
Cryptococcosis,Infectious Disease Specialist
Obesity,Endocrinologist
Indigestion,Gastroenterologist
Bursitis,Orthopedic
Esophageal cancer,Oncologist
Pulmonary congestion,Pulmonologist
Juvenile rheumatoid arthritis,Rheumatologist
Acute otitis media,ENT Specialist
Astigmatism,Ophthalmologist
Tuberous sclerosis,Neurologist
Empyema,Pulmonologist
Presbyacusis,ENT Specialist
Neonatal jaundice,Pediatrician
Chronic obstructive pulmonary disease (COPD),Pulmonologist
Dislocation of the elbow,Orthopedic
Spondylosis,Orthopedic
Herpangina,Pediatrician
Injury to the shoulder,Orthopedic
Poisoning due to antidepressants,General Physician
Infection of open wound,Infectious Disease Specialist
Deep vein thrombosis (DVT),Hematologist
Protein deficiency,Endocrinologist
Myoclonus,Neurologist
Bone spur of the calcaneous,Orthopedic
Von Willebrand disease,Hematologist
Open wound of the back,Dermatologist
Heart block,Cardiologist
Colonic polyp,Gastroenterologist
Hypospadias,Urologist
Magnesium deficiency,Nephrologist
Female infertility of unknown cause,Endocrinologist
Pericarditis,Cardiologist
Attention deficit hyperactivity disorder (ADHD),Psychiatrist
Neuromyelitis optica,Neurologist
Pulmonic valve disease,Cardiologist
Tietze syndrome,Rheumatologist
Cranial nerve palsy,Neurologist
Injury to the arm,Orthopedic
Conversion disorder,Psychiatrist
Complex regional pain syndrome,Neurologist 
Otosclerosis,ENT specialist
Injury to the trunk,Orthopedic
Hypothyroidism,Endocrinologist
Primary insomnia,Psychiatrist
Lice,Dermatologist
Vitamin B12 deficiency,Hematologist
Diabetes,Endocrinologist
Vulvodynia,Gynecologist
Endometriosis,Gynecologist
Vasculitis,Rheumatologist
Concussion,Neurologist
Oral leukoplakia,ENT specialist
Chronic kidney disease,Nephrologist
Bladder disorder,Urologist
Chorioretinitis,Ophthalmologist
Priapism,Urologist
Myositis,Rheumatologist
Mononucleosis,General Physician
Neuralgia,Neurologist
Polycystic kidney disease,Nephrologist
Bipolar disorder,Psychiatrist
Amyloidosis,Hematologist
Chronic inflammatory demyelinating polyneuropathy (CIDP),Neurologist
Gastroesophageal reflux disease (GERD),Gastroenterologist
Vitreous hemorrhage,Ophthalmologist
Poisoning due to antimicrobial drugs,General Physician
Open wound of the mouth,ENT specialist
Myasthenia gravis,Neurologist
Hypoglycemia,Endocrinologist
Idiopathic absence of menstruation,Gynecologist
Dislocation of the ankle,Orthopedic
Carbon monoxide poisoning,General physician
Panic attack,Psychiatrist
Plantar fasciitis,Orthopedician
Hyperopia,Ophthalmologist
Poisoning due to sedatives,General Physician
Pemphigus,Dermatologist
Peyronie disease,Urologist
Hiatal hernia,Gastroenterologist 
Extrapyramidal effect of drugs,Neurologist 
Meniere disease,ENT specialist
Anal fissure,General Physician
Allergy,Immunologist
Chronic otitis media,ENT specialist
Hirschsprung disease,General Physician
Polymyalgia rheumatica,Rheumatologist
Lymphedema,Vascular surgeon
Bladder cancer,Urologist
Acute bronchospasm,Pulmonologist
Acute glaucoma,Ophthalmologist
Open wound of the chest,General Surgeon 
Dislocation of the patella,Orthopedic
